Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5402,889,11349,20,Embeded Systems Desin,Embeded Systems Desin
5403,890,5623,3,NEURAL NETWORKS,NEURAL NETWORKS
5404,890,5623,14,Web Engineering,Web Engineering
5405,890,5623,0,Computing Algorithms,Computing Algorithms
5406,890,5623,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5407,890,5623,1,DATA SECURITY,DATA SECURITY
5408,891,4706,3,NEURAL NETWORKS,NEURAL NETWORKS
5409,891,4706,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5410,891,4706,0,Computing Algorithms,Computing Algorithms
5411,891,4706,1,DATA SECURITY,DATA SECURITY
5412,892,13101,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5413,892,13101,1,DATA SECURITY,DATA SECURITY
5414,892,13101,12,Mobile Applications,Mobile Applications
5415,892,13101,15,Introduction to Data Mining,Introduction to Data Mining
5416,892,13101,14,Web Engineering,Web Engineering
5417,893,6653,1,DATA SECURITY,DATA SECURITY
5418,893,6653,0,Computing Algorithms,Computing Algorithms
5419,893,6653,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5420,893,6653,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5421,893,6653,21,Cyber Security,Cyber Security
5422,893,6653,19,Introduction to Big Data Management,Introduction to Big Data Management
5423,894,3731,1,DATA SECURITY,DATA SECURITY
5424,894,3731,14,Web Engineering,Web Engineering
5425,894,3731,20,Embeded Systems Desin,Embeded Systems Desin
5426,894,3731,12,Mobile Applications,Mobile Applications
5427,894,3731,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5428,895,20901,3,NEURAL NETWORKS,NEURAL NETWORKS
5429,895,20901,5,Modelling & Simulation,Modelling & Simulation
5430,895,20901,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5431,895,20901,20,Embeded Systems Desin,Embeded Systems Desin
5432,895,20901,1,DATA SECURITY,DATA SECURITY
5433,896,22433,3,NEURAL NETWORKS,NEURAL NETWORKS
5434,897,29633,1,DATA SECURITY,DATA SECURITY
5435,897,29633,18,COMPUTER SYSTEMS PERFORMANCE ANALYSIS,COMPUTER SYSTEMS PERFORMANCE ANALYSIS
5436,897,29633,21,Cyber Security,Cyber Security
5437,897,29633,13,INTERNETWORK SECURITY,INTERNETWORK SECURITY
5438,897,29633,14,Web Engineering,Web Engineering
5439,898,12086,1,DATA SECURITY,DATA SECURITY
5440,899,29819,1,DATA SECURITY,DATA SECURITY
5441,899,29819,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5442,899,29819,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5443,899,29819,14,Web Engineering,Web Engineering
5444,899,29819,11,Cloud Computing,Cloud Computing
5445,899,29819,18,COMPUTER SYSTEMS PERFORMANCE ANALYSIS,COMPUTER SYSTEMS PERFORMANCE ANALYSIS
5448,899,29819,19,Introduction to Big Data Management,Introduction to Big Data Management
5451,900,23182,1,DATA SECURITY,DATA SECURITY
5452,900,23182,14,Web Engineering,Web Engineering
5453,900,23182,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5454,901,23381,1,DATA SECURITY,DATA SECURITY
5455,901,23381,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5456,901,23381,0,Computing Algorithms,Computing Algorithms
5457,901,23381,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5458,901,23381,21,Cyber Security,Cyber Security
5459,901,23381,14,Web Engineering,Web Engineering
5460,902,3996,0,Computing Algorithms,Computing Algorithms
5461,903,1882,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5462,904,23683,1,DATA SECURITY,DATA SECURITY
5463,904,23683,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5464,904,23683,14,Web Engineering,Web Engineering
5465,904,23683,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5468,904,23683,11,Cloud Computing,Cloud Computing
5469,904,23683,21,Cyber Security,Cyber Security
5470,905,26819,1,DATA SECURITY,DATA SECURITY
5471,905,26819,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5472,905,26819,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5473,905,26819,21,Cyber Security,Cyber Security
5474,905,26819,14,Web Engineering,Web Engineering
5475,905,26819,13,INTERNETWORK SECURITY,INTERNETWORK SECURITY
5476,906,30335,14,Web Engineering,Web Engineering
5477,906,30335,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
